web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752744495-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Perroquet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990","Perroquet","75 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png)"
"1752744498-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant des Flandres","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763","Lapin géant des Flandres","35 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png)"
"1752744501-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon links","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921","Pigeon links","Prix sur demande","Diourbel, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png)"
"1752744503-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Couple pigeons cravatés français","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720","Couple pigeons cravatés français","50 000 CFA","Cambérène, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1112720_uploaded_image1_1572054298.36.png)"
"1752744514-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bleu hollandais","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010","Bleu hollandais","25 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1115010_uploaded_image1_1572106167.81.png)"
"1752744516-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405","Pigeons","Prix sur demande","Fatick, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png)"
"1752744519-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets Guinars tiirr","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-guinars-tiirr-1146827","Poulets Guinars tiirr","Prix sur demande","Patte d'oie, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png)"
"1752744521-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Maton","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/maton-1148605","Maton","25 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png)"
"1752744523-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lawar","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lawar-1148681","Lawar","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png)"
"1752744526-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin - 1 jour","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-1159518","Poussin - 1 jour","Prix sur demande","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png)"
